=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
==================================================================================
ab_test_events                                ON   1    6     0         16 KB     
ab_tests                                      ON   5    29    6         64 KB     
abm_activities                                ON   5    10    4         64 KB     
account_heat_map                              ON   5    26    1405      1 MB      
accounting_clients                            ON   6    38    445       440 KB    
accounting_companies_house_cache              ON   1    9     200       848 KB    
accounting_invoices                           ON   6    17    5         96 KB     
accounting_jobs                               ON   6    16    5         104 KB    
accounting_payments                           ON   6    16    0         40 KB     
accounting_reminders                          ON   6    16    1         80 KB     
accounting_transactions                       ON   6    19    0         48 KB     
accounting_truelayer_connections              ON   6    15    0         32 KB     
activities                                    ON   2    15    0         40 KB     
ad_accounts                                   ON   2    21    0         24 KB     
ad_campaigns                                  ON   2    38    0         40 KB     
ad_conversions                                ON   6    27    3         128 KB    
ad_creatives                                  ON   2    27    0         32 KB     
ad_performance_log                            ON   2    15    0         40 KB     
ad_script_intelligence                        ON   5    17    5         48 KB     
aeo_brand_presence                            ON   2    20    8         96 KB     
aeo_content_scores                            ON   2    21    26        104 KB    
aeo_entity_graph                              ON   2    16    154       176 KB    
aeo_query_library                             ON   2    12    58        80 KB     
aeo_schema_registry                           ON   2    12    20        96 KB     
agent_actions                                 ON   5    14    1069      824 KB    
agent_contexts                                ON   1    18    34        432 KB    
agent_conversations                           ON   5    18    391       336 KB    
agent_execution_log                           ON   5    13    0         40 KB     
agent_memory                                  ON   1    17    43        224 KB    
agent_performance                             ON   0    16    0         48 KB     
ai_agent_conversations                        ON   2    21    0         80 KB     
ai_agent_metrics                              ON   2    18    11        72 KB     
ai_agent_suggestions                          ON   2    9     0         16 KB     
ai_agent_tasks                                ON   2    15    0         64 KB     
ai_agent_templates                            ON   2    17    10        32 KB     
ai_agent_traces                               ON   2    20    0         32 KB     
ai_agents                                     ON   2    25    3         240 KB    
ai_decisions                                  ON   1    31    700       360 KB    
ai_feedback                                   ON   1    9     0         32 KB     
ai_generated_messages                         ON   1    10    0         16 KB     
ai_insights                                   ON   0    7     0         32 KB     
ai_learning_store                             ON   5    14    0         48 KB     
ai_model_configs                              ON   0    20    47        144 KB    
ai_predictions                                ON   6    18    6         32 KB     
ai_task_templates                             ON   1    12    0         16 KB     
ai_tasks                                      ON   1    32    0         32 KB     
ai_team_recommendations                       ON   1    21    0         40 KB     
analytics                                     ON   1    13    0         8 KB      
analytics_daily                               ON   6    21    61        80 KB     
analytics_events                              ON   1    10    0         16 KB     
analytics_hourly                              ON   1    23    1         48 KB     
api_key_pool                                  ON   1    16    14        80 KB     
api_usage_logs                                ON   1    14    0         24 KB     
apify_actors                                  ON   1    13    0         16 KB     
appointments                                  ON   1    33    18        128 KB    
audience_segments                             ON   5    9     8         32 KB     
audit_log                                     ON   1    17    0         32 KB     
audit_logs                                    ON   3    11    6         32 KB     
auto_lead_gen_settings                        ON   10   38    11        80 KB     
automation_audit_log                          ON   1    11    0         16 KB     
