table,row_count,row_approx,ui_files,workflow_refs
ab_test_events,0,0,0,0
ab_tests,6,0,2,0
abm_activities,4,0,0,1
account_heat_map,1405,0,0,2
accounting_clients,445,0,8,1
accounting_companies_house_cache,200,0,0,0
accounting_invoices,5,0,5,1
accounting_jobs,5,0,2,1
accounting_payments,0,0,4,0
accounting_reminders,1,0,0,1
accounting_transactions,0,0,0,0
accounting_truelayer_connections,0,0,0,0
activities,0,0,4,0
ad_accounts,0,0,1,1
ad_campaigns,0,0,1,1
ad_conversions,3,0,1,1
ad_creatives,0,0,1,1
ad_performance_log,0,0,1,1
ad_script_intelligence,5,0,1,1
aeo_brand_presence,8,0,1,1
aeo_content_scores,26,0,1,2
aeo_entity_graph,154,0,1,0
aeo_query_library,58,0,1,0
aeo_schema_registry,20,0,1,1
agent_actions,1069,0,3,0
agent_contexts,34,0,2,1
agent_conversations,391,0,1,0
agent_execution_log,0,0,0,0
agent_memory,43,0,1,1
agent_performance,0,0,0,0
ai_agent_conversations,0,0,1,1
ai_agent_metrics,11,0,1,1
ai_agent_suggestions,0,0,2,1
ai_agent_tasks,0,0,2,1
ai_agent_templates,10,0,1,0
ai_agent_traces,0,0,0,0
ai_agents,3,0,1,3
ai_decisions,700,0,1,1
ai_feedback,0,0,0,0
ai_generated_messages,0,0,0,0
ai_insights,0,0,2,2
ai_learning_store,0,0,1,0
ai_model_configs,47,0,1,1
ai_predictions,6,0,1,0
ai_task_templates,0,0,0,0
ai_tasks,0,0,0,0
ai_team_recommendations,0,0,0,0
analytics,0,0,39,6
analytics_daily,61,0,2,0
analytics_events,0,0,0,0
analytics_hourly,1,0,0,0
api_key_pool,14,0,0,6
api_usage_logs,0,0,0,0
apify_actors,0,0,0,0
appointments,18,0,26,7
audience_segments,8,0,1,0
audit_log,0,0,0,0
audit_logs,6,0,1,0
auto_lead_gen_settings,11,0,1,1
automation_audit_log,0,0,0,0
automation_rules,0,0,1,0
automation_settings,0,0,0,0
autonomous_marketing_actions,32,0,1,2
autonomous_workflows,0,0,0,0
b2c_discovered_leads,0,0,0,0
b2c_discovery_logs,0,0,0,0
b2c_intent_monitors,1,0,0,1
billing_events,1,0,0,0
billing_history,1,0,1,2
blog_accounts,0,0,0,0
blog_posts,28,0,4,7
brand_visual_profiles,23,0,0,0
brand_voice_profiles,5,0,3,4
bsh_clinical_log,0,0,0,0
bsh_multibranch_metrics,0,0,0,0
bulk_call_campaigns,1,0,1,1
bulk_call_contacts,1,0,1,1
business_insights,0,0,0,0
business_profiles,13,0,2,3
business_settings,0,0,0,0
buying_committees,953,0,0,1
call_logs,0,0,0,0
call_queue,0,0,0,1
call_records,0,0,0,0
calls,0,0,44,12
campaign_executions,20,0,0,1
campaign_logs,0,0,0,0
campaign_media,0,0,0,0
campaign_metrics,0,0,0,0
campaign_send_log,0,0,0,0
campaign_templates,0,0,0,0
campaigns,0,0,37,8
canned_responses,98,0,1,0
channel_config,0,0,0,0
channel_configurations,0,0,0,0
channel_messages,0,0,0,0
client_packages,0,0,0,0
clinic_consent_forms,0,0,1,0
clinic_consent_templates,3,0,1,0
clinic_consultations,1,0,4,0
clinic_health_analyses,0,0,3,2
clinic_medical_reports,0,0,2,2
clinic_medical_review_queue,0,0,1,1
clinic_patient_files,0,0,1,0
clinic_patient_notes,0,0,1,0
clinic_patients,6,0,5,2
clinic_post_care_schedule,0,0,0,0
clinic_prescriptions,0,0,2,0
clinic_products,8,0,2,1
clinic_treatments,20,0,3,2
clinic_video_scripts,0,0,1,1
collections_accounts,32,0,1,1
collections_bucket_config,8,0,1,1
collections_compliance_log,8,0,1,1
collections_compliance_rules,10,0,1,0
collections_contact_log,46,0,1,1
collections_field_visits,0,0,1,0
collections_kpis,21,0,1,0
collections_ptp,10,0,1,1
collections_settlements,4,0,1,1
comm_analytics_daily,0,0,0,1
companies,0,0,4,8
company_intelligence,730,0,1,1
company_policies,0,0,0,0
company_research,632,0,0,2
competitor_ad_intelligence,22,0,1,3
competitor_analysis,0,0,3,0
competitor_content,7,0,1,2
competitor_intelligence,0,0,0,2
competitor_prices,0,0,0,0
competitor_profiles,3,0,0,0
competitor_tracking,15,0,5,2
competitors,21,0,14,11
consent,0,0,12,1
consent_log,31,0,0,1
consent_records,0,0,0,0
consent_signatures,0,0,1,0
consent_templates,0,0,1,0
contact_channel_map,0,0,0,1
contact_engagement_patterns,0,0,0,0
contacts,24,0,18,4
content_attribution,0,0,0,0
content_calendar,0,0,0,0
content_performance,0,0,0,0
content_repurpose_jobs,2,0,0,1
content_versions,0,0,0,0
conversation_merges,0,0,0,1
conversation_messages,0,0,0,0
conversation_ratings,0,0,0,0
conversation_resolution_log,13,0,0,0
conversation_tag_assignments,0,0,0,0
