table	rows
hr_ai_insights	0
hr_ai_interviews	1
hr_announcements	0
hr_asset_assignments	0
hr_attendance	60
hr_attendance_corrections	0
hr_attendance_rules	1
hr_audit_logs	0
hr_auto_decisions	625
hr_auto_mode_config	41
hr_candidates	10
hr_compliance_logs	0
hr_conversations	0
hr_departments	14
hr_document_acknowledgments	1
hr_document_templates	0
hr_documents	10
hr_employee_documents	0
hr_employee_payroll	0
hr_employee_shifts	0
hr_employees	34
hr_expense_claims	0
hr_goals	10
hr_interview_schedules	0
hr_job_applications	10
hr_job_requisitions	12
hr_leave_balances	104
hr_leave_requests	9
hr_leave_types	7
hr_notifications	0
hr_payroll	0
hr_payroll_periods	0
hr_performance_cycles	1
hr_performance_reviews	9
hr_pipeline_summary	8
hr_policies	0
hr_policy_acknowledgments	0
hr_public_holidays	2
hr_recruitment_outreach	0
hr_shifts	1
hr_skills	0
hr_sourcing_runs	40
hr_sourcing_stats	2
hr_survey_responses	0
hr_surveys	0
hr_training_enrollments	0
hr_training_programs	7
hr_training_records	13
