table,workflow_count,workflows
hr_ai_insights,2,"U9Yb2JSa46NlOKXC:420 HR part1 - v1.1;tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_ai_interviews,4,"0VEBSpO63nEiR1xh:420 HR AI Interview Receiver v1.0;MatQ3J4HYAgKiJ6A:420 HR AI Interview Question Gen v1.0;bcaK7Lxd0HgtVfqW:420 HR AI Interview Call v1.0;tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_announcements,2,"U9Yb2JSa46NlOKXC:420 HR part1 - v1.1;tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_asset_assignments,2,"U9Yb2JSa46NlOKXC:420 HR part1 - v1.1;tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_attendance,5,"5WLVNYiiAHJYKuFW:420 HR Auto Punch-Out Cron v1.0;A0M2juuizluBwASl:420 HR Auto-Review v1.0;U9Yb2JSa46NlOKXC:420 HR part1 - v1.1;rG1G3WHbqUHB295n:420 Intelligence Hub v2.3;tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_attendance_corrections,1,"tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_attendance_rules,1,"5WLVNYiiAHJYKuFW:420 HR Auto Punch-Out Cron v1.0"
hr_audit_logs,2,"U9Yb2JSa46NlOKXC:420 HR part1 - v1.1;tHIN8s5hurqzRU7g:420 HR Part 2 - v1.9.3"
hr_auto_decisions,1,"GoLKFQ3raVFyDg40:420 HR Auto-Pipeline v1.0"
hr_auto_mode_config,1,"GoLKFQ3raVFyDg40:420 HR Auto-Pipeline v1.0"
